Prov,CLUSTER
Aceh,1
Sumatera Utara,2
Sumatera Barat,2
Riau,2
Jambi,2
Sumatera Selatan,2
Bengkulu,2
Lampung,2
Bangka Belitung,2
Kepulauan Riau,3
Jakarta Raya,1
Jawa Barat,2
Jawa Tengah,2
Yogyakarta,1
Jawa Timur,2
Banten,2
Bali,3
Nusa Tenggara Barat,2
Nusa Tenggara Timur,1
Kalimantan Barat,2
Kalimantan Tengah,2
Kalimantan Selatan,2
Kalimantan Timur,1
Kalimantan Utara,3
Sulawesi Utara,0
Sulawesi Tengah,0
Sulawesi Selatan,1
Sulawesi Tenggara,3
Gorontalo,1
Sulawesi Barat,3
Maluku,0
Maluku Utara,0
Papua Barat,0
Papua,0
